"","line","fStarve","mStarve"
"163","line_801",58.4489795918367,46.4
"164","line_802",66.24,52.8
"165","line_804",54.5671641791045,37.0149253731343
"166","line_805",55.0204081632653,47.1666666666667
"167","line_808",42.7755102040816,39.0204081632653
"168","line_810",61.3877551020408,53.0612244897959
"169","line_812",91.2,71.52
"170","line_818",69,43.04
"171","line_819",49.92,33.7959183673469
"172","line_820",64.3333333333333,47.5
"173","line_821",65.6,57.2
"174","line_822",77.7142857142857,54.530612244898
"175","line_83",55.52,56.96
"176","line_832",65.7777777777778,55.8367346938776
"177","line_837",67.2432432432432,55.3333333333333
"178","line_843",75.4042553191489,65.12
"179","line_849",76.1739130434783,59.9183673469388
"180","line_85",43.04,47.68
"181","line_850",45.8666666666667,40
"182","line_852",66.7755102040816,50.6666666666667
"183","line_853",56.3265306122449,51.2340425531915
"184","line_855",51.4285714285714,44.6666666666667
"185","line_857",57.469387755102,56.8163265306122
"186","line_859",64.96,47.1836734693878
"187","line_861",50.8936170212766,34.2608695652174
"188","line_879",57.3061224489796,40.8
"189","line_88",50.9387755102041,69.92
"190","line_882",89.28,54.0408163265306
"191","line_884",50.8936170212766,41.0181818181818
"192","line_887",73.6666666666667,47.8333333333333
"193","line_890",50.2857142857143,38.08
"194","line_892",64,38.72
"195","line_894",64.16,43.36
"196","line_897",63.6734693877551,58.24
"197","line_900",50.4,41.8333333333333
"198","line_907",59.52,45.28
"199","line_908",68.64,54.530612244898
"200","line_91",71.36,49.76
"201","line_911",44.0816326530612,35.68
"202","line_913",78.88,57.76
"203","line_93",57.12,34.88
