"","line","f","m","dif","avg"
"153","line_358",55.3469387755102,34.56,20.7869387755102,44.9534693877551
"154","line_894",64.16,43.36,20.8,53.76
"155","line_142",59.265306122449,38.4,20.865306122449,48.8326530612245
"156","line_382",67.5,46.530612244898,20.969387755102,57.015306122449
"157","line_317",48.64,27.6666666666667,20.9733333333333,38.1533333333334
"158","line_913",78.88,57.76,21.12,68.32
"159","line_737",66.4,45.28,21.12,55.84
"160","line_374",60.48,39.1489361702128,21.3310638297872,49.8144680851064
"161","line_235",71.3333333333333,49.9555555555556,21.3777777777777,60.6444444444444
"162","line_91",71.36,49.76,21.6,60.56
"163","line_776",79.68,57.92,21.76,68.8
"164","line_375",66.72,44.6666666666667,22.0533333333333,55.6933333333333
"165","line_105",73.12,51.04,22.08,62.08
"166","line_93",57.12,34.88,22.24,46
"167","line_41",77.7142857142857,55.3962264150943,22.3180592991914,66.55525606469
"168","line_370",55.04,32.6666666666667,22.3733333333333,43.8533333333334
"169","line_75",90.24,67.84,22.4,79.04
"170","line_48",78.88,56.32,22.56,67.6
"171","line_385",71.8367346938775,49.12,22.7167346938775,60.4783673469388
"172","line_748",63.68,40.96,22.72,52.32
"173","line_73",73.92,51.1020408163265,22.8179591836735,62.5110204081632
"174","line_707",80.4897959183673,57.6666666666667,22.8231292517006,69.078231292517
"175","line_486",68.8,45.92,22.88,57.36
"176","line_630",68.0888888888889,45.2,22.8888888888889,56.6444444444445
"177","line_223",68.1666666666667,45.0434782608696,23.1231884057971,56.6050724637682
"178","line_822",77.7142857142857,54.530612244898,23.1836734693877,66.1224489795919
"179","line_596",70.88,47.36,23.52,59.12
"180","line_32",56.16,32.32,23.84,44.24
"181","line_280",69.8333333333333,45.6666666666667,24.1666666666666,57.75
"182","line_361",55.84,30.72,25.12,43.28
"183","line_892",64,38.72,25.28,51.36
"184","line_40",67.3333333333333,41.6,25.7333333333333,54.4666666666667
"185","line_887",73.6666666666667,47.8333333333333,25.8333333333334,60.75
"186","line_818",69,43.04,25.96,56.02
"187","line_158",77.0612244897959,51,26.0612244897959,64.030612244898
"188","line_100",77.92,49.28,28.64,63.6
"189","line_440",70.3505154639175,40.3333333333333,30.0171821305842,55.3419243986254
"190","line_714",74.6122448979592,44,30.6122448979592,59.3061224489796
"191","line_336",75.1020408163265,44.0816326530612,31.0204081632653,59.5918367346938
"192","line_491",78.4,46.72,31.68,62.56
"193","line_391",63.2,30.24,32.96,46.72
"194","line_313",72.8163265306122,39.8333333333333,32.9829931972789,56.3248299319728
"195","line_379",88.1818181818182,55.1666666666667,33.0151515151515,71.6742424242425
"196","line_320",87.52,54.3673469387755,33.1526530612245,70.9436734693877
"197","line_642",89,55.7714285714286,33.2285714285714,72.3857142857143
"198","line_882",89.28,54.0408163265306,35.2391836734694,71.6604081632653
"199","line_356",83.1020408163265,46,37.1020408163265,64.5510204081633
"200","line_21",74.72,36.7719298245614,37.9480701754386,55.7459649122807
"201","line_136",104.32,63.04,41.28,83.68
"202","line_716",87.04,43.52,43.52,65.28
"203","line_217",106.56,60.32,46.24,83.44
