"","Gene","Count"
"382","FBgn0267385",1
"383","FBgn0000659",1
"384","FBgn0001977",1
"385","FBgn0002174",1
"386","FBgn0002573",1
"387","FBgn0002962",1
"388","FBgn0004170",1
"389","FBgn0004363",1
"390","FBgn0004436",1
"391","FBgn0005613",1
"392","FBgn0005672",1
"393","FBgn0015247",1
"394","FBgn0015509",1
"395","FBgn0015799",1
"396","FBgn0020261",1
"397","FBgn0020415",1
"398","FBgn0023076",1
"399","FBgn0024187",1
"400","FBgn0024371",1
"401","FBgn0024732",1
"402","FBgn0025637",1
"403","FBgn0025825",1
"404","FBgn0026090",1
"405","FBgn0030163",1
"406","FBgn0031384",1
"407","FBgn0031491",1
"408","FBgn0031683",1
"409","FBgn0032209",1
"410","FBgn0032816",1
"411","FBgn0033738",1
"412","FBgn0033985",1
"413","FBgn0034368",1
"414","FBgn0034763",1
"415","FBgn0034970",1
"416","FBgn0035402",1
"417","FBgn0035793",1
"418","FBgn0035852",1
"419","FBgn0038196",1
"420","FBgn0038365",1
"421","FBgn0038519",1
"422","FBgn0038570",1
"423","FBgn0038948",1
"424","FBgn0040650",1
"425","FBgn0051005",1
"426","FBgn0051832",1
"427","FBgn0052418",1
"428","FBgn0067102",1
"429","FBgn0085459",1
"430","FBgn0087011",1
"431","FBgn0243512",1
"432","FBgn0259176",1
"433","FBgn0260635",1
"434","FBgn0260970",1
"435","FBgn0262367",1
"436","FBgn0262371",1
"437","FBgn0262377",1
"438","FBgn0262397",1
"439","FBgn0262403",1
"440","FBgn0262407",1
"441","FBgn0262421",1
"442","FBgn0262429",1
"443","FBgn0262434",1
"444","FBgn0262449",1
"445","FBgn0262451",1
"446","FBgn0262460",1
"447","FBgn0262464",1
"448","FBgn0263107",1
"449","FBgn0264291",1
"450","FBgn0278604",1
"451","FBgn0283468",1
"452","FBgn0283531",1
"453","FBgn0284421",1
"454","FBgn0286781",1
"455","FBgn0000382",1
"456","FBgn0000499",1
"457","FBgn0001189",1
"458","FBgn0003301",1
"459","FBgn0003416",1
"460","FBgn0004390",1
"461","FBgn0004611",1
"462","FBgn0004852",1
