"","Gene","Count"
"438","FBgn0002531",1
"439","FBgn0002533",1
"440","FBgn0002534",1
"441","FBgn0002535",1
"442","FBgn0003046",1
"443","FBgn0003870",1
"444","FBgn0004777",1
"445","FBgn0004778",1
"446","FBgn0004779",1
"447","FBgn0004780",1
"448","FBgn0004781",1
"449","FBgn0004782",1
"450","FBgn0004783",1
"451","FBgn0013763",1
"452","FBgn0020414",1
"453","FBgn0020416",1
"454","FBgn0020637",1
"455","FBgn0020638",1
"456","FBgn0020639",1
"457","FBgn0020640",1
"458","FBgn0020641",1
"459","FBgn0020642",1
"460","FBgn0020644",1
"461","FBgn0020645",1
"462","FBgn0020764",1
"463","FBgn0020765",1
"464","FBgn0022702",1
"465","FBgn0025578",1
"466","FBgn0026077",1
"467","FBgn0026415",1
"468","FBgn0028544",1
"469","FBgn0028871",1
"470","FBgn0028938",1
"471","FBgn0029170",1
"472","FBgn0029811",1
"473","FBgn0030394",1
"474","FBgn0030398",1
"475","FBgn0030494",1
"476","FBgn0031097",1
"477","FBgn0031467",1
"478","FBgn0031737",1
"479","FBgn0031957",1
"480","FBgn0032125",1
"481","FBgn0032234",1
"482","FBgn0032538",1
"483","FBgn0032812",1
"484","FBgn0033597",1
"485","FBgn0033598",1
"486","FBgn0033600",1
"487","FBgn0033601",1
"488","FBgn0033602",1
"489","FBgn0033603",1
"490","FBgn0033658",1
"491","FBgn0033725",1
"492","FBgn0033726",1
"493","FBgn0033728",1
"494","FBgn0033729",1
"495","FBgn0033730",1
"496","FBgn0033731",1
"497","FBgn0033867",1
"498","FBgn0033869",1
"499","FBgn0033942",1
"500","FBgn0034157",1
"501","FBgn0034499",1
"502","FBgn0034517",1
"503","FBgn0034582",1
"504","FBgn0035279",1
"505","FBgn0035280",1
"506","FBgn0035281",1
"507","FBgn0035398",1
"508","FBgn0035510",1
"509","FBgn0035511",1
"510","FBgn0035512",1
"511","FBgn0035513",1
"512","FBgn0035686",1
"513","FBgn0035735",1
"514","FBgn0035736",1
"515","FBgn0035737",1
"516","FBgn0035873",1
"517","FBgn0035875",1
"518","FBgn0035985",1
"519","FBgn0036108",1
"520","FBgn0036109",1
"521","FBgn0036110",1
"522","FBgn0036617",1
"523","FBgn0036618",1
"524","FBgn0036619",1
"525","FBgn0036680",1
"526","FBgn0036878",1
"527","FBgn0036879",1
"528","FBgn0036880",1
"529","FBgn0036881",1
"530","FBgn0037067",1
"531","FBgn0037068",1
"532","FBgn0037069",1
"533","FBgn0037114",1
"534","FBgn0037224",1
"535","FBgn0037225",1
"536","FBgn0037227",1
"537","FBgn0037913",1
"538","FBgn0038180",1
"539","FBgn0038487",1
"540","FBgn0038714",1
"541","FBgn0038819",1
"542","FBgn0038947",1
"543","FBgn0039434",1
"544","FBgn0039435",1
"545","FBgn0039436",1
"546","FBgn0039437",1
"547","FBgn0039438",1
"548","FBgn0039439",1
"549","FBgn0039440",1
"550","FBgn0039441",1
"551","FBgn0039443",1
"552","FBgn0039444",1
"553","FBgn0039448",1
"554","FBgn0039469",1
"555","FBgn0039480",1
"556","FBgn0039481",1
"557","FBgn0039805",1
"558","FBgn0042118",1
"559","FBgn0042119",1
"560","FBgn0050042",1
"561","FBgn0050045",1
"562","FBgn0050101",1
"563","FBgn0050163",1
"564","FBgn0050293",1
"565","FBgn0051080",1
"566","FBgn0051081",1
"567","FBgn0051876",1
"568","FBgn0052029",1
"569","FBgn0052404",1
"570","FBgn0052405",1
"571","FBgn0052569",1
"572","FBgn0052570",1
"573","FBgn0052571",1
"574","FBgn0052574",1
"575","FBgn0053302",1
"576","FBgn0064237",1
"577","FBgn0085300",1
"578","FBgn0085491",1
"579","FBgn0086519",1
"580","FBgn0086611",1
"581","FBgn0086900",1
"582","FBgn0243586",1
"583","FBgn0250833",1
"584","FBgn0259211",1
"585","FBgn0259749",1
"586","FBgn0260006",1
"587","FBgn0260653",1
"588","FBgn0261020",1
"589","FBgn0261341",1
"590","FBgn0261799",1
"591","FBgn0262125",1
"592","FBgn0262126",1
"593","FBgn0286203",1
